Make,Model,Year,MPG
Honda,Accord Lx,1978,29.5
Pontiac,Lemans V6,1979,21.5
Mercury,Zephyr 6,1979,19.8
Ford,Fairmont 4,1979,22.3
Amc,Concord Dl 6,1979,20.2
Dodge,Aspen 6,1979,20.6
Chevrolet,Caprice Classic,1979,17.0
Ford,Ltd Landau,1979,17.6
Mercury,Grand Marquis,1979,16.5
Dodge,St. Regis,1979,18.2
Buick,Estate Wagon (Sw),1979,16.9
Ford,Country Squire (Sw),1979,15.5
Chevrolet,Malibu Classic (Sw),1979,19.2
Chrysler,Lebaron Town @ Country (Sw),1979,18.5
Volkswagen,Rabbit Custom,1979,31.9
Mazda,Glc Deluxe,1979,34.1
Dodge,Colt Hatchback Custom,1979,35.7
Amc,Spirit Dl,1979,27.4
Mercedes,Benz 300D,1979,25.4
Cadillac,Eldorado,1979,23.0
Peugeot,504,1979,27.2
Oldsmobile,Cutlass Salon Brougham,1979,23.9
Plymouth,Horizon,1979,34.2
Plymouth,Horizon Tc3,1979,34.5
Datsun,210,1979,31.8
Fiat,Strada Custom,1979,37.3
Buick,Skylark Limited,1979,28.4
Chevrolet,Citation,1979,28.8
Oldsmobile,Omega Brougham,1979,26.8
Pontiac,Phoenix,1979,33.5
Volkswagen,Rabbit,1980,41.5
Toyota,Corolla Tercel,1980,38.1
Chevrolet,Chevette,1980,32.1
Datsun,310,1980,37.2
Chevrolet,Citation,1980,28.0
Ford,Fairmont,1980,26.4
Amc,Concord,1980,24.3
Dodge,Aspen,1980,19.1
Audi,4000,1980,34.3
Toyota,Corona Liftback,1980,29.8
Mazda,626,1980,31.3
Datsun,510 Hatchback,1980,37.0
Toyota,Corolla,1980,32.2
Mazda,Glc,1980,46.6
Dodge,Colt,1980,27.9
Datsun,210,1980,40.8
Volkswagen,Rabbit C (Diesel),1980,44.3
Volkswagen,Dasher (Diesel),1980,43.4
Audi,5000S (Diesel),1980,36.4
Mercedes,240D,1980,30.0
Honda,Civic 1500 Gl,1980,44.6
Renault,Lecar Deluxe,1980,40.9
Subaru,Dl,1980,33.8
Volkswagen,Rabbit,1980,29.8
Datsun,280-Zx,1980,32.7
Mazda,Rx-7 Gs,1980,23.7
Triumph,Tr7 Coupe,1980,35.0
Ford,Mustang Cobra,1980,23.6
Honda,Accord,1980,32.4
Plymouth,Reliant,1981,27.2
Buick,Skylark,1981,26.6
Dodge,Aries Wagon (Sw),1981,25.8
Chevrolet,Citation,1981,23.5
Plymouth,Reliant,1981,30.0
Toyota,Starlet,1981,39.1
Plymouth,Champ,1981,39.0
Honda,Civic 1300,1981,35.1
Subaru,,1981,32.3
Datsun,210 Mpg,1981,37.0
Toyota,Tercel,1981,37.7
Mazda,Glc 4,1981,34.1
Plymouth,Horizon 4,1981,34.7
Ford,Escort 4W,1981,34.4
Ford,Escort 2H,1981,29.9
Volkswagen,Jetta,1981,33.0
Renault,18I,1981,34.5
Honda,Prelude,1981,33.7
Toyota,Corolla,1981,32.4
Datsun,200Sx,1981,32.9
Mazda,626,1981,31.6
Peugeot,505S Turbo Diesel,1981,28.1
Volvo,Diesel,1981,30.7
Toyota,Cressida,1981,25.4
Datsun,810 Maxima,1981,24.2
Buick,Century,1981,22.4
Oldsmobile,Cutlass Ls,1981,26.6
Ford,Granada Gl,1981,20.2
Chrysler,Lebaron Salon,1981,17.6
Chevrolet,Cavalier,1982,28.0
Chevrolet,Cavalier Wagon,1982,27.0
Chevrolet,Cavalier 2-Door,1982,34.0
Pontiac,J2000 Se Hatchback,1982,31.0
Dodge,Aries Se,1982,29.0
Pontiac,Phoenix,1982,27.0
Ford,Fairmont Futura,1982,24.0
Amc,Concord Dl,1982,23.0
Volkswagen,Rabbit L,1982,36.0
Mazda,Glc Custom L,1982,37.0
Mazda,Glc Custom,1982,31.0
Plymouth,Horizon Miser,1982,38.0
Mercury,Lynx L,1982,36.0
Nissan,Stanza Xe,1982,36.0
Honda,Accord,1982,36.0
Toyota,Corolla,1982,34.0
Honda,Civic,1982,38.0
Honda,Civic (Auto),1982,32.0
Datsun,310 Gx,1982,38.0
Buick,Century Limited,1982,25.0
Oldsmobile,Cutlass Ciera (Diesel),1982,38.0
Chrysler,Lebaron Medallion,1982,26.0
Ford,Granada L,1982,22.0
Toyota,Celica Gt,1982,32.0
Dodge,Charger 2.2,1982,36.0
Chevrolet,Camaro,1982,27.0
Ford,Mustang Gl,1982,27.0
Volkswagen,Pickup,1982,44.0
Dodge,Rampage,1982,32.0
Ford,Ranger,1982,28.0
Chevrolet,S-10,1982,31.0
